code,url,creator,created_t,last_modified_t,product_name,abbreviated_product_name,generic_name,quantity,packaging,packaging_tags,packaging_text,brands,brands_tags,categories,categories_tags,origins,origins_tags,manufacturing_places,manufacturing_places_tags,labels,labels_tags,emb_codes,emb_codes_tags,cities,cities_tags,purchase_places,stores,countries,ingredients_text,allergens,allergens_tags,traces,traces_tags,serving_size,serving_quantity,no_nutriments,additives_n,additives_tags,ingredients_from_palm_oil_n,ingredients_from_palm_oil,ingredients_from_palm_oil_tags,ingredients_that_may_be_from_palm_oil_n,ingredients_that_may_be_from_palm_oil,ingredients_that_may_be_from_palm_oil_tags,nutriscore_score,nutriscore_grade,nova_group,pnns_groups_1,pnns_groups_2,states,brand_owner,ecoscore_score_fr,ecoscore_grade_fr,main_category,image_url,image_small_url,image_front_url,image_front_small_url,image_ingredients_url,image_ingredients_small_url,image_nutrition_url,image_nutrition_small_url,energy-kj_100g,energy-kcal_100g,energy_100g,energy-from-fat_100g,fat_100g,saturated-fat_100g,-butyric-acid_100g,-caproic-acid_100g,-caprylic-acid_100g,-capric-acid_100g,-lauric-acid_100g,-myristic-acid_100g,-palmitic-acid_100g,-stearic-acid_100g,-arachidic-acid_100g,-behenic-acid_100g,-lignoceric-acid_100g,-cerotic-acid_100g,-montanic-acid_100g,-melissic-acid_100g,monounsaturated-fat_100g,polyunsaturated-fat_100g,omega-3-fat_100g,-alpha-linolenic-acid_100g,-eicosapentaenoic-acid_100g,-docosahexaenoic-acid_100g,omega-6-fat_100g,-linoleic-acid_100g,-arachidonic-acid_100g,-gamma-linolenic-acid_100g,-dihomo-gamma-linolenic-acid_100g,omega-9-fat_100g,-oleic-acid_100g,-elaidic-acid_100g,-gondoic-acid_100g,-mead-acid_100g,-erucic-acid_100g,-nervonic-acid_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,-sucrose_100g,-glucose_100g,-fructose_100g,-lactose_100g,-maltose_100g,-maltodextrins_100g,starch_100g,polyols_100g,fiber_100g,-soluble-fiber_100g,-insoluble-fiber_100g,proteins_100g,casein_100g,serum-proteins_100g,nucleotides_100g,salt_100g,sodium_100g,alcohol_100g,vitamin-a_100g,beta-carotene_100g,vitamin-d_100g,vitamin-e_100g,vitamin-k_100g,vitamin-c_100g,vitamin-b1_100g,vitamin-b2_100g,vitamin-pp_100g,vitamin-b6_100g,vitamin-b9_100g,folates_100g,vitamin-b12_100g,biotin_100g,pantothenic-acid_100g,silica_100g,bicarbonate_100g,potassium_100g,chloride_100g,calcium_100g,phosphorus_100g,iron_100g,magnesium_100g,zinc_100g,copper_100g,manganese_100g,fluoride_100g,selenium_100g,chromium_100g,molybdenum_100g,iodine_100g,caffeine_100g,taurine_100g,ph_100g,fruits-vegetables-nuts_100g,fruits-vegetables-nuts-dried_100g,fruits-vegetables-nuts-estimate_100g,collagen-meat-protein-ratio_100g,cocoa_100g,chlorophyl_100g,carbon-footprint_100g,carbon-footprint-from-meat-or-fish_100g,nutrition-score-fr_100g,nutrition-score-uk_100g,glycemic-index_100g,water-hardness_100g,choline_100g,phylloquinone_100g,beta-glucan_100g,inositol_100g,carnitine_100g
0647878250771,https://world.openfoodfacts.org/product/0647878250771,openfoodfacts-contributors,1622867862,1622867868,"Navy beans, seasoned, low sodium",,,,,,,California Healthy Harvest,california-healthy-harvest,,,,,,,,,,,,,,,en:United States,,,,,,130g,130,,,,,,,,,,,,,unknown,unknown,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-to-be-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-to-be-selected, en:ingredients-photo-to-be-selected, en:front-photo-selected, en:photos-uploaded",,,,,https://static.openfoodfacts.org/images/products/064/787/825/0771/front_en.3.400.jpg,https://static.openfoodfacts.org/images/products/064/787/825/0771/front_en.3.200.jpg,https://static.openfoodfacts.org/images/products/064/787/825/0771/front_en.3.400.jpg,https://static.openfoodfacts.org/images/products/064/787/825/0771/front_en.3.200.jpg,,,,,,100,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.6,2.31,,,,,,,,,3.08,,,4.62,,,,269,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0761720056301,https://world.openfoodfacts.org/product/0761720056301,usda-ndb-import,1489056141,1622174579,Mazola,,,,,,,Heart Healthy,heart-healthy,,,,,,,,,,,,,,,United States,Corn oil.,,,,,14 g (1 Tbsp),14,,0,,0,,,0,,,,,,unknown,unknown,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-to-be-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-to-be-selected, en:front-photo-selected, en:photos-uploaded",,,,,https://static.openfoodfacts.org/images/products/076/172/005/6301/front_en.4.400.jpg,https://static.openfoodfacts.org/images/products/076/172/005/6301/front_en.4.200.jpg,https://static.openfoodfacts.org/images/products/076/172/005/6301/front_en.4.400.jpg,https://static.openfoodfacts.org/images/products/076/172/005/6301/front_en.4.200.jpg,,,https://static.openfoodfacts.org/images/products/076/172/005/6301/nutrition_en.6.400.jpg,https://static.openfoodfacts.org/images/products/076/172/005/6301/nutrition_en.6.200.jpg,,857.14285714286,3586,,100,14.285714285714,,,,,,,,,,,,,,,28.57,57.14,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0027815179936,https://world.openfoodfacts.org/product/0027815179936,usda-ndb-import,1489052089,1622064997,Honey Smoked Turkey Breast,,,,,,,Healthy Ones,healthy-ones,"Meats, Prepared meats","en:meats,en:prepared-meats",,,,,en:no-artificial-flavors,en:no-artificial-flavors,,,,,,,United States,"Turkey breast, white turkey, turkey broth, honey, contains 2% or less of potassium lactate, dextrose, salt, sodium phosphates, sodium diacetate, potassium chloride, natural flavor, sodium nitrite, sodium erythorbate.",,,,,6 SLICES (54 g),54,,4,"en:e250,en:e262,en:e262ii,en:e316,en:e326",0,,,0,,,3,c,4,Fish Meat Eggs,Processed meat,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-to-be-selected, en:ingredients-photo-to-be-selected, en:front-photo-selected, en:photos-uploaded",Armour-Eckrich Meats LLC,,,en:prepared-meats,https://static.openfoodfacts.org/images/products/002/781/517/9936/front_en.12.400.jpg,https://static.openfoodfacts.org/images/products/002/781/517/9936/front_en.12.200.jpg,https://static.openfoodfacts.org/images/products/002/781/517/9936/front_en.12.400.jpg,https://static.openfoodfacts.org/images/products/002/781/517/9936/front_en.12.200.jpg,,,,,,111,464,,3.7,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.046,5.56,3.7,,,,,,,,,,,,14.81,,,,1.62,0.648,,,,,,,,,,,,,,,,,,,,,,,0.00067,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
0893811000976,https://world.openfoodfacts.org/product/0893811000976,kiliweb,1621986487,1621986803,Healthy energy drink mix,,,,,,,,,,,,,,,,,,,,,,,en:us,,,,,,,,,,,,,,,,,,,,unknown,unknown,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-to-be-completed, en:brands-to-be-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-to-be-selected, en:front-photo-selected, en:photos-uploaded",,,,,https://static.openfoodfacts.org/images/products/089/381/100/0976/front_en.3.400.jpg,https://static.openfoodfacts.org/images/products/089/381/100/0976/front_en.3.200.jpg,https://static.openfoodfacts.org/images/products/089/381/100/0976/front_en.3.400.jpg,https://static.openfoodfacts.org/images/products/089/381/100/0976/front_en.3.200.jpg,,,https://static.openfoodfacts.org/images/products/089/381/100/0976/nutrition_en.5.400.jpg,https://static.openfoodfacts.org/images/products/089/381/100/0976/nutrition_en.5.200.jpg,,181.81818181818,761,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.181818181818,0,,,,,,,,,,,,0,,,,1.5909090909091,0.63636363636364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0072655001107,https://world.openfoodfacts.org/product/0072655001107,org-database-usda,1587583650,1621703308,"HEALTHY CHOICE Cafe Steamers Asian Beef Teriyaki, 9.5 OZ",,,,,,,,,,,,,,,,,,,,,,,United States,"cooked rice (water, white rice), seasoned cooked beef and binder product (beef, water, contains 2% or less of: caramel color, dextrose, seasoning [natural flavor, salt, maltodextrin, dried whey, dried cauliflower, sesame oil], modified corn starch, potassium chloride, potassium phosphate, salt, sodium phosphates, spice extractives), carrots, water, broccoli, water chestnuts, brown sugar, soy sauce (water, wheat, soybeans, salt, alcohol, vinegar, lactic acid), contains 2% or less of: scallions, pineapple juice concentrate, rice vinegar, modified corn starch, ginger puree, garlic, sesame oil, onions, canola oil, cooking wine (white wine, natural flavor, salt), sugar, chardonnay wine, ginger, chili paste (red chili peppers, distilled vinegar, salt, xanthan gum), butter (cream, salt), olive oil, contains: milk, wheat, soy,","en:gluten,en:milk,en:soybeans","en:gluten,en:milk,en:soybeans",,,1 Meal (269 g) (269 g),269,,3,"en:e150c,en:e270,en:e415",0,,,0,,,,,4,unknown,unknown,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-to-be-completed, en:brands-to-be-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-validated, en:packaging-photo-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded",Conagra Brands,,,,https://static.openfoodfacts.org/images/products/007/265/500/1107/front_en.7.400.jpg,https://static.openfoodfacts.org/images/products/007/265/500/1107/front_en.7.200.jpg,https://static.openfoodfacts.org/images/products/007/265/500/1107/front_en.7.400.jpg,https://static.openfoodfacts.org/images/products/007/265/500/1107/front_en.7.200.jpg,https://static.openfoodfacts.org/images/products/007/265/500/1107/ingredients_en.9.400.jpg,https://static.openfoodfacts.org/images/products/007/265/500/1107/ingredients_en.9.200.jpg,https://static.openfoodfacts.org/images/products/007/265/500/1107/nutrition_en.11.400.jpg,https://static.openfoodfacts.org/images/products/007/265/500/1107/nutrition_en.11.200.jpg,,104,435,,1.86,0.56,,,,,,,,,,,,,,,0.74,0.37,,,,,,,,,,,,,,,,,0,0.013,15.61,4.46,,,,,,,,,0.7,,,5.58,,,,0.4175,0.167,,8.37e-05,,,,,0.0022,,,,,,,,,,,,0.23,,0.007,,0.00054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0602652171208,https://world.openfoodfacts.org/product/0602652171208,usda-ndb-import,1489063908,1621600594,Healthy grains maple quinoa clusters with chia seeds,,,,,,,Kind,kind,,,,,,,,,,,,,,,United States,"whole grain blend (oats, brown rice, oat flour, millet, amaranth, buckwheat, quinoa), dried cane syrup, canola oil, chia seeds, maple syrup, molasses, brown rice syrup, natural flavor, sea salt, vitamin e (to maintain freshness),",,en:oats,,,29 g (0.33 cup),29,,0,,0,,,0,,,,,4,unknown,unknown,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-to-be-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-to-be-selected, en:ingredients-photo-to-be-selected, en:front-photo-selected, en:photos-uploaded",,,,,https://static.openfoodfacts.org/images/products/060/265/217/1208/front_en.5.400.jpg,https://static.openfoodfacts.org/images/products/060/265/217/1208/front_en.5.200.jpg,https://static.openfoodfacts.org/images/products/060/265/217/1208/front_en.5.400.jpg,https://static.openfoodfacts.org/images/products/060/265/217/1208/front_en.5.200.jpg,,,,,,380,1590,,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,68,20,,,,,,,,,6.9,,,8,,,,0.381,0.1524,,0,,,,,0,,,,,,,,,,,,,,0.069,,0.00372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0072400060557,https://world.openfoodfacts.org/product/0072400060557,kiliweb,1621560577,1621560579,Cream of Wheat healthy grain,,,,,,,,,,,,,,,,,,,,,,,en:us,,,,,,,,,,,,,,,,,,,,unknown,unknown,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-to-be-completed, en:brands-to-be-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-to-be-selected, en:front-photo-selected, en:photos-uploaded",,,,,https://static.openfoodfacts.org/images/products/007/240/006/0557/front_en.3.400.jpg,https://static.openfoodfacts.org/images/products/007/240/006/0557/front_en.3.200.jpg,https://static.openfoodfacts.org/images/products/007/240/006/0557/front_en.3.400.jpg,https://static.openfoodfacts.org/images/products/007/240/006/0557/front_en.3.200.jpg,,,https://static.openfoodfacts.org/images/products/007/240/006/0557/nutrition_en.5.400.jpg,https://static.openfoodfacts.org/images/products/007/240/006/0557/nutrition_en.5.200.jpg,,2.2222222222222,9,,2.2222222222222,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.333333333333,0,,,,,,,,,,,,15.555555555556,,,,1.1666666666667,0.46666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0072655454422,https://world.openfoodfacts.org/product/0072655454422,waistline-app,1551459615,1621320719,Cafe steamers chicken fettuccini alfredo,,,,,,,Healthy Choice,healthy-choice,,,,,,,,,,,,,,,en:US,"Cooked pasta (water, enriched wheat flour [durum wheat semolina, niacin, ferrous sulfate {iron}, thiamine mononitrate, riboflavin, folic acid], soybean oil, egg white), sauce (water, parmesan cheese [part skim milk, cheese culture, salt, enzymes], soybean oil, modified corn starch, nonfat dry milk, contains 2% or less of: alfredo cheese blend [parmesan, cheddar and romano cheese from cow's milk {milk, cheese culture, salt, enzymes}, water, nonfat dry milk, salt, disodium phosphate, sodium citrate], flavorings, potassium chloride, sea salt, xanthan gum, guar gum), cooked chicken (chicken breast, water, olive oil, contains 2% or less of: isolated soy protein product [isolated soy protein, modified potato starch, corn starch, carrageenan, soy lecithin], dextrose, potassium chloride, salt, sodium phosphates, flavoring), broccoli. contains: egg, milk, soy, wheat.","en:eggs,en:gluten,en:milk,en:soybeans","en:eggs,en:gluten,en:milk,en:soybeans",,,1 Meal (283 g) (283 g),283,,5,"en:e322,en:e322i,en:e339ii,en:e407,en:e412,en:e415",0,,,0,,,,,4,unknown,unknown,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-to-be-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-to-be-selected, en:ingredients-photo-to-be-selected, en:front-photo-selected, en:photos-uploaded",Conagra Brands,,,,https://static.openfoodfacts.org/images/products/007/265/545/4422/front_en.5.400.jpg,https://static.openfoodfacts.org/images/products/007/265/545/4422/front_en.5.200.jpg,https://static.openfoodfacts.org/images/products/007/265/545/4422/front_en.5.400.jpg,https://static.openfoodfacts.org/images/products/007/265/545/4422/front_en.5.200.jpg,,,,,,98.94,414,,2.83,0.71,,,,,,,,,,,,,,,0.88,0.88,,,,,,,,,,,,,,,,,0,0.016,10.95,0.71,,,,,,,,,1.4,,,7.42,,,,0.5206,0.20824,,2.13e-05,,,,,0.0021,,,,,,,,,,,,0.269,,0.028,,0.00051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0097467044005,https://world.openfoodfacts.org/product/0097467044005,kiliweb,1621302393,1621302394,Formula 1 Healthy Meal Banana Caramel,,,,,,,,,,,,,,,,,,,,,,,en:us,,,,,,,,,,,,,,,,,,,,unknown,unknown,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-to-be-completed, en:brands-to-be-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-to-be-selected, en:front-photo-selected, en:photos-uploaded",,,,,https://static.openfoodfacts.org/images/products/009/746/704/4005/front_en.3.400.jpg,https://static.openfoodfacts.org/images/products/009/746/704/4005/front_en.3.200.jpg,https://static.openfoodfacts.org/images/products/009/746/704/4005/front_en.3.400.jpg,https://static.openfoodfacts.org/images/products/009/746/704/4005/front_en.3.200.jpg,,,https://static.openfoodfacts.org/images/products/009/746/704/4005/nutrition_en.5.400.jpg,https://static.openfoodfacts.org/images/products/009/746/704/4005/nutrition_en.5.200.jpg,,8,33,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,36,,,,,,,,,,,,36,,,,0.95,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0011110045249,https://world.openfoodfacts.org/product/0011110045249,openfoodfacts-contributors,1580774012,1620718132,Heart healthy tomato condensed soup,,,,,,,"Kroger, The Kroger Co.","kroger,the-kroger-co",,,,,,,,,,,,,,,en:United States,nedents tomato puree nater tomato pastel water we adr sugar contains less than 2% of sombean ol salt n dalorce sea salt natural flavor ctrcaco crcacc containg wheat 1stauted by the kroger co ocn ohio 452 0 serving instructions of water or milk f prefered 2% stovetop,,,,,,,,0,,0,,,0,,,,,,unknown,unknown,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-to-be-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded",,,,,https://static.openfoodfacts.org/images/products/001/111/004/5249/front_en.17.400.jpg,https://static.openfoodfacts.org/images/products/001/111/004/5249/front_en.17.200.jpg,https://static.openfoodfacts.org/images/products/001/111/004/5249/front_en.17.400.jpg,https://static.openfoodfacts.org/images/products/001/111/004/5249/front_en.17.200.jpg,https://static.openfoodfacts.org/images/products/001/111/004/5249/ingredients_en.6.400.jpg,https://static.openfoodfacts.org/images/products/001/111/004/5249/ingredients_en.6.200.jpg,https://static.openfoodfacts.org/images/products/001/111/004/5249/nutrition_en.19.400.jpg,https://static.openfoodfacts.org/images/products/001/111/004/5249/nutrition_en.19.200.jpg,,72,301,,1.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4,7.2,,,,,,,,,,,,1.6,,,,0.82,0.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0867169000162,https://world.openfoodfacts.org/product/0867169000162,hereticalhominid,1620616487,1620616639,Healthy Vegan Chocobites,,,,,,,Alyssa's,alyssa-s,,,,,,,,,,,,,,,en:United States,,,,,,,,,,,,,,,,,,,,unknown,unknown,"en:to-be-completed, en:nutrition-facts-to-be-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-to-be-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-to-be-selected, en:ingredients-photo-to-be-selected, en:front-photo-selected, en:photos-uploaded",,,,,https://static.openfoodfacts.org/images/products/086/716/900/0162/front_en.4.400.jpg,https://static.openfoodfacts.org/images/products/086/716/900/0162/front_en.4.200.jpg,https://static.openfoodfacts.org/images/products/086/716/900/0162/front_en.4.400.jpg,https://static.openfoodfacts.org/images/products/086/716/900/0162/front_en.4.200.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0867657000087,https://world.openfoodfacts.org/product/0867657000087,openfoodfacts-contributors,1596732655,1620307651,healthy energy,,,,,,,,,,,,,,,,,,,,,,,en:United States,,,,,,,,,,,,,,,,,,,,unknown,unknown,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-to-be-completed, en:brands-to-be-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-to-be-selected, en:front-photo-selected, en:photos-uploaded",,,,,https://static.openfoodfacts.org/images/products/086/765/700/0087/front_en.7.400.jpg,https://static.openfoodfacts.org/images/products/086/765/700/0087/front_en.7.200.jpg,https://static.openfoodfacts.org/images/products/086/765/700/0087/front_en.7.400.jpg,https://static.openfoodfacts.org/images/products/086/765/700/0087/front_en.7.200.jpg,,,https://static.openfoodfacts.org/images/products/086/765/700/0087/nutrition_en.9.400.jpg,https://static.openfoodfacts.org/images/products/086/765/700/0087/nutrition_en.9.200.jpg,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0049100333830,https://world.openfoodfacts.org/product/0049100333830,cosmilok,1548552496,1620264817,Soft bread multigrain,,,567 g,,,,Healthy Choice,healthy-choice,,,,,,,,,,,,,"United States, Puerto Rico","Amigos, Walmart","Puerto Rico, United States","WHOLE WHEAT FLOUR, WHEAT FLOUR BLEACHED, WATER, WHEAT GLUTEN, BROWN SUGAR, WHEAT BRAN, HIGH FRUCTOSE CORN SYRUP, CONTAINS 2% OR LESS OF THE FOLLOWING: CRUSHED WHEAT, CRACKED RYE, CORNMEAL, OATS, FLAKED BARLEY, CRACKED TRITICALE (WHEAT), DEFATTED FLAXSEED MEAL, YEAST, HONEY, WHEY (MILK), CULTURED WHEY (FROM MILK), SALT, DOUGH CONDITIONERS (SOY LECITHIN, ETHOXYLATED MONO AND DIGLYCERIDES, SODIUM STEAROYL LACTYLATE, ASCORBIC ACID), MALTED BARLEY FLOUR, YEAST NUTRIENT (AMMONIUM SULFATE), CALCIUM SULFATE (CALCIUM), NIACIN, IRON (FERROUS SULFATE), THIAMINE MONONITRATE (VITAMIN B1), RIBOFLAVIN (VITAMIN B2), FOLIC ACID. NO ARTIFICIAL PRESERVATIVES ADDED.",,"en:gluten,en:milk,en:oats,en:soybeans",,,28g,28,,6,"en:e300,en:e322,en:e322i,en:e471,en:e481,en:e516,en:e517",0,,,0,,,,,4,unknown,unknown,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-to-be-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded",,,,,https://static.openfoodfacts.org/images/products/004/910/033/3830/front_en.14.400.jpg,https://static.openfoodfacts.org/images/products/004/910/033/3830/front_en.14.200.jpg,https://static.openfoodfacts.org/images/products/004/910/033/3830/front_en.14.400.jpg,https://static.openfoodfacts.org/images/products/004/910/033/3830/front_en.14.200.jpg,https://static.openfoodfacts.org/images/products/004/910/033/3830/ingredients_en.7.400.jpg,https://static.openfoodfacts.org/images/products/004/910/033/3830/ingredients_en.7.200.jpg,https://static.openfoodfacts.org/images/products/004/910/033/3830/nutrition_en.19.400.jpg,https://static.openfoodfacts.org/images/products/004/910/033/3830/nutrition_en.19.200.jpg,,70,293,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,2,,,,,,,,,2,,,4,,,,0.3,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0602652285134,https://world.openfoodfacts.org/product/0602652285134,kiliweb,1619993112,1619993113,Kind healthy grains Oats and Honey,,,,,,,,,,,,,,,,,,,,,,,en:us,,,,,,,,,,,,,,,,,,,,unknown,unknown,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-to-be-completed, en:brands-to-be-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-to-be-selected, en:front-photo-selected, en:photos-uploaded",,,,,https://static.openfoodfacts.org/images/products/060/265/228/5134/front_en.3.400.jpg,https://static.openfoodfacts.org/images/products/060/265/228/5134/front_en.3.200.jpg,https://static.openfoodfacts.org/images/products/060/265/228/5134/front_en.3.400.jpg,https://static.openfoodfacts.org/images/products/060/265/228/5134/front_en.3.200.jpg,,,https://static.openfoodfacts.org/images/products/060/265/228/5134/nutrition_en.5.400.jpg,https://static.openfoodfacts.org/images/products/060/265/228/5134/nutrition_en.5.200.jpg,,428.57142857143,1793,,14.285714285714,4.2857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.714285714286,17.142857142857,,,,,,,,,,,,8.5714285714286,,,,0.67857142857143,0.271428571428572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
